CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp,Timestamp_real
-420.9755172,-535.0421225,-641.6383538,-276.0183377,-116.8735764,-928.1370798,83.9645876,171.5708631,3464,0,13158,-9987,1287,-40,21,101,182766,500,23:16.8,23:16.831
-250.9712718,-405.9648329,-249.6918065,33.5693358,21.06160796,-737.0897186,141.398843,248.6344654,3464,0,13158,-9987,1287,-40,21,101,182767,500,23:16.8,23:16.831
12.14810071,-256.9878445,-187.6872555,-3.090649978,39.98742106,-730.8406886,192.94242,262.5506674,3464,0,13158,-9987,1287,-40,21,101,182768,500,23:16.8,23:16.831
-29.52367843,-223.4039187,-164.1635126,-45.04283307,49.76248874,-789.6466096,77.05706256,109.9406711,3464,0,13158,-9987,1287,-40,21,101,182769,500,23:16.8,23:16.831
-330.7486988,-355.3372465,-374.3007229,63.84997344,500.2557785,-498.3125375,118.1297168,-28.20236965,3464,0,13158,-9987,1287,-40,21,101,182770,500,23:16.8,23:16.831
-307.0617733,-391.8222234,-414.6174686,319.6940411,640.727516,-359.8900161,74.21388884,-20.44800521,3464,0,13158,-9987,1287,-40,21,101,182771,500,23:16.8,23:16.831
-277.4358539,-434.1980181,-480.7532084,214.1162389,794.1589149,-263.025596,65.87494142,31.89946981,3464,0,13158,-9987,1287,-40,21,101,182772,500,23:16.8,23:16.831
-158.0596812,-349.1632377,-560.4567786,39.60701617,557.1124445,-348.8149252,96.64203471,108.1638545,3464,0,13158,-9987,1287,-40,21,101,182773,500,23:16.8,23:16.831
-189.9842445,-297.0460444,-533.5423006,-186.8299645,-250.4895938,-729.5746875,95.96859772,37.88974707,3464,0,13158,-9987,1287,-40,21,101,182774,500,23:16.8,23:16.831
-166.7380017,-317.3386013,-521.2522392,-163.3485116,-66.08799038,-731.5878951,83.48318649,9.33266547,3464,0,13158,-9987,1287,-40,21,101,182775,500,23:16.8,23:16.832
-165.160523,-376.5018095,-452.6137075,102.8916007,292.6886996,-530.3492311,47.4473959,59.17625463,3464,0,13181,-9952,1292,-166,62,125,182776,500,23:16.8,23:16.832
-267.0040816,-441.6863029,-199.9650433,519.2072065,1046.598443,16.21131436,22.25666,-204.3309607,3464,0,13181,-9952,1292,-166,62,125,182777,500,23:16.8,23:16.832
-180.3067454,-360.5438892,-59.86383275,492.8092161,1008.328915,200.2389942,145.9272885,-125.3783716,3464,0,13181,-9952,1292,-166,62,125,182778,500,23:16.8,23:16.832
-31.17097987,-213.0639563,99.70134795,215.1154848,605.4928492,-63.79154878,188.3264561,22.65521684,3464,0,13181,-9952,1292,-166,62,125,182779,500,23:16.8,23:16.832
-11.20095618,-140.4889911,-45.46245604,29.08620516,180.2310195,-460.1047364,265.4470458,131.1514006,3464,0,13181,-9952,1292,-166,62,125,182780,500,23:16.8,23:16.832
-78.14648901,-131.3252307,-201.694679,70.47278496,105.0888524,-704.678559,168.5964577,-74.49233574,3464,0,13181,-9952,1292,-166,62,125,182781,500,23:16.8,23:16.832
-227.5322935,-305.4922026,-419.369157,131.3277552,822.0478698,-255.4360651,154.0177619,212.044723,3464,0,13181,-9952,1292,-166,62,125,182782,500,23:16.8,23:16.832
-483.9315707,-532.3753346,-725.7647047,-34.55502234,894.2554116,-156.420158,15.36000291,-39.98879171,3464,0,13181,-9952,1292,-166,62,125,182783,500,23:16.8,23:16.832
-389.220493,-581.730679,-521.4532849,21.19045104,416.7770701,-469.4239167,-182.9347602,113.4026834,3464,0,13181,-9952,1292,-166,62,125,182784,500,23:16.8,23:16.832
-154.3973048,-542.2506086,-432.3974838,39.59976063,195.6417486,-550.0632947,-133.0418729,250.4958735,3464,0,13181,-9952,1292,-166,62,125,182785,500,23:16.8,23:16.832
-224.0376225,-544.9485062,-369.5841042,61.88590638,78.57520478,-602.4412301,-70.58130476,302.5714316,3464,0,13153,-9959,1269,-339,24,34,182786,500,23:16.8,23:16.833
-245.4521606,-509.2379542,-250.3224291,49.73695036,138.4246486,-561.9077847,-90.3734224,229.2415047,3464,0,13153,-9959,1269,-339,24,34,182787,500,23:16.8,23:16.834
-31.74271037,-414.5566355,-149.285076,232.5511376,491.7827498,-360.2254733,-20.81547878,336.9242406,3464,0,13153,-9959,1269,-339,24,34,182788,500,23:16.8,23:16.834
-68.67948828,-507.7600475,-355.081823,31.19139433,257.2084649,-416.8582006,-45.22392492,366.1064138,3464,0,13153,-9959,1269,-339,24,34,182789,500,23:16.8,23:16.834
-116.8076399,-585.0110155,-578.0669717,-262.1670383,-178.9339646,-732.9095265,-72.79941368,205.0817446,3464,0,13153,-9959,1269,-339,24,34,182790,500,23:16.8,23:16.835
-2.160737789,-507.3294838,-539.8612691,-196.6571314,-27.18919769,-673.4823741,-55.26438214,287.6690124,3464,0,13153,-9959,1269,-339,24,34,182791,500,23:16.8,23:16.835
-13.21095501,-377.2926263,-296.9281589,43.95802365,446.1818141,-321.3314145,-8.726239385,226.321861,3464,0,13153,-9959,1269,-339,24,34,182792,500,23:16.8,23:16.835
-169.7967888,-434.5094158,-301.6342986,-2.588928292,282.8283436,-336.3793097,-27.41937416,22.0634067,3464,0,13153,-9959,1269,-339,24,34,182793,500,23:16.8,23:16.835
-29.49593588,-425.5925639,-97.88907256,48.06190679,41.23290458,-437.9910781,-4.268394361,170.0423659,3464,0,13153,-9959,1269,-339,24,34,182794,500,23:16.8,23:16.835
170.7048899,-288.1315692,-82.66254189,-16.70926072,54.40652644,-391.6464911,33.15831086,144.025902,3464,0,13153,-9959,1269,-339,24,34,182795,500,23:16.8,23:16.835
457.3258042,-105.3137198,-69.30687779,45.85376614,259.0615624,-255.3156376,86.90220962,19.5395271,3464,0,13108,-9988,1241,-336,51,1,182796,500,23:16.8,23:16.835
800.8826374,70.24095694,-24.4373366,-67.25788432,-62.7544497,-269.8354222,183.9017853,176.4576117,3464,0,13108,-9988,1241,-336,51,1,182797,500,23:16.8,23:16.835
786.8731238,280.7055226,-100.1710167,-339.4121078,-283.7257898,-406.8123383,316.4305554,173.6336276,3464,0,13108,-9988,1241,-336,51,1,182798,500,23:16.8,23:16.836
-110.491087,18.4258875,-422.617045,-789.4828025,-499.5908313,-729.6493078,106.0677349,65.8954102,3464,0,13108,-9988,1241,-336,51,1,182799,500,23:16.8,23:16.836
-588.6993222,-474.2201344,-834.6694105,-1095.246731,-616.6266918,-983.9582437,-153.0021086,220.5991126,3464,0,13108,-9988,1241,-336,51,1,182800,500,23:16.8,23:16.837
-321.418873,-536.0754096,-534.7436028,-454.4984445,-323.391621,-781.2349528,-248.5158789,197.7078185,3464,0,13108,-9988,1241,-336,51,1,182801,500,23:16.8,23:16.837
-404.1666935,-448.6350376,-162.934049,240.871267,643.2105619,13.77202471,-252.8499237,3.579209498,3464,0,13108,-9988,1241,-336,51,1,182802,500,23:16.8,23:16.837
-291.0552732,-400.1163466,-135.8979968,352.0917262,906.7199956,94.62180948,-245.4179174,30.99020014,3464,0,13108,-9988,1241,-336,51,1,182803,500,23:16.8,23:16.837
-592.9258674,-637.5844504,-382.4748264,119.7717653,305.1777838,-415.5549783,-326.5624489,-58.89603721,3464,0,13108,-9988,1241,-336,51,1,182804,500,23:16.8,23:16.837
-725.0107981,-754.6481279,-594.2750158,-160.8172174,261.0799085,-513.0430376,-274.3193095,38.22914856,3464,0,13108,-9988,1241,-336,51,1,182805,500,23:16.8,23:16.838
-766.2379183,-719.9492447,-696.4807967,-239.7085851,347.5811817,-641.4107136,-373.8215817,71.6195966,3464,0,13134,-10014,1203,-95,133,-65,182806,500,23:16.8,23:16.838
-372.4379111,-612.8160487,-502.424411,-56.75744283,340.4011158,-613.9577018,-382.8854209,54.14941428,3464,0,13134,-10014,1203,-95,133,-65,182807,500,23:16.8,23:16.838
135.0229715,-182.2518477,-250.4170571,123.8782833,333.1518198,-371.2232014,-128.2147648,69.50016717,3464,0,13134,-10014,1203,-95,133,-65,182808,500,23:16.8,23:16.838
-133.0999946,-154.681657,-128.9208071,90.66752404,444.3509444,-317.5073024,-181.0376347,-250.537257,3464,0,13134,-10014,1203,-95,133,-65,182809,500,23:16.8,23:16.838
-186.5001076,-279.4877452,-329.0221655,-304.9123301,155.4553201,-599.4208969,-195.4720145,-160.6372314,3464,0,13134,-10014,1203,-95,133,-65,182810,500,23:16.8,23:16.839
-102.8991049,-342.471362,-354.0993409,-337.7078309,-130.8145407,-784.5594314,-183.3556505,-81.39070679,3464,0,13134,-10014,1203,-95,133,-65,182811,500,23:16.8,23:16.839
-290.952958,-369.8396189,-298.7087329,-196.7161167,-64.93565932,-820.2774234,-269.6215052,-170.7357311,3464,0,13134,-10014,1203,-95,133,-65,182812,500,23:16.8,23:16.840
