CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp,Timestamp_real
101.7994709,1.393141095,159.9312732,-143.0078259,-392.3475589,-228.0968563,-32.26158819,134.3263395,3229,0,3253,-3926,-15916,20,193,147,2628111,500,44:46.8,44:46.820
172.9119783,83.82955531,211.3796948,-12.2866559,-155.1672146,-111.5975031,39.27828752,183.2709953,3229,0,3253,-3926,-15916,20,193,147,2628112,500,44:46.8,44:46.820
88.46288135,39.34774751,208.2053687,70.77070622,-8.880426244,-23.75966963,113.6278189,140.9035178,3229,0,3253,-3926,-15916,20,193,147,2628113,500,44:46.8,44:46.820
79.03734816,30.89428195,141.3088155,10.99774237,-38.52841456,56.08191821,220.0760157,120.1898144,3229,0,3253,-3926,-15916,20,193,147,2628114,500,44:46.8,44:46.820
353.2732245,329.2985644,416.8554731,374.9500326,309.0480302,398.5261849,473.6900692,305.0684713,3229,0,3253,-3926,-15916,20,193,147,2628115,500,44:46.8,44:46.821
330.7792481,317.4582357,444.6529237,437.9987762,390.3315565,404.6872628,442.4480365,336.0737826,3229,0,3253,-3926,-15916,20,193,147,2628116,500,44:46.8,44:46.821
243.9102783,213.3700858,346.1510791,305.2003292,275.5830684,333.6513608,172.2920865,260.6416159,3229,0,3253,-3926,-15916,20,193,147,2628117,500,44:46.8,44:46.821
76.11147109,-1.342091539,185.3688324,133.7663717,173.9037447,145.1063763,59.4844288,206.2038207,3229,0,3253,-3926,-15916,20,193,147,2628118,500,44:46.8,44:46.821
148.5305261,110.3022615,199.9044317,202.819276,200.8349419,53.21322582,18.31222697,204.1121123,3229,0,3313,-3865,-15956,-210,248,-3,2628119,500,44:46.8,44:46.821
305.1070901,283.763184,366.9581497,285.5775733,176.4012768,64.25712356,51.55384145,280.0819916,3229,0,3313,-3865,-15956,-210,248,-3,2628120,500,44:46.8,44:46.821
313.1711614,237.081186,313.5477643,274.0770273,218.2076539,242.4564048,165.7142318,261.4550871,3229,0,3313,-3865,-15956,-210,248,-3,2628121,500,44:46.8,44:46.823
112.0486137,38.81086318,114.7006442,-6.440048079,-56.23047616,63.85967417,258.0804091,38.00276914,3229,0,3313,-3865,-15956,-210,248,-3,2628122,500,44:46.8,44:46.823
-63.19561392,-143.6355361,-32.11528515,-210.5644395,-379.6117971,-88.16465971,243.4876536,-126.6380243,3229,0,3313,-3865,-15956,-210,248,-3,2628123,500,44:46.8,44:46.823
-60.1477169,-83.95298019,-42.56147146,-155.4078738,-435.1050807,-109.2071359,17.14957129,-147.031373,3229,0,3313,-3865,-15956,-210,248,-3,2628124,500,44:46.8,44:46.823
