CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp,Timestamp_real
303.3496108,217.7696462,-166.017111,482.3770806,48.73394806,805.4716122,330.6428386,397.0613574,3258,0,16143,-164,2522,-169,185,86,2287851,500,33:26.3,33:26.300
-258.3799408,-172.9105972,-183.9651662,384.0008112,-69.31331253,470.5670595,-31.57377432,-146.0265054,3258,0,16143,-164,2522,-169,185,86,2287852,500,33:26.3,33:26.300
-306.987211,-142.1321087,-114.5945214,487.3330838,-64.41068898,543.9448873,-127.9292495,-220.2633215,3258,0,16143,-164,2522,-169,185,86,2287853,500,33:26.3,33:26.300
-106.1344855,-30.43202697,-96.13369992,622.4054977,-46.2274311,541.0511225,-86.35569424,-32.31979891,3258,0,16143,-164,2522,-169,185,86,2287854,500,33:26.3,33:26.300
-176.0733523,-112.717255,337.8296894,704.8586195,60.32150668,859.5544372,-93.86667081,-113.95605,3258,0,16143,-164,2522,-169,185,86,2287855,500,33:26.3,33:26.300
-150.7035319,-132.2786532,165.1620265,582.3773703,-51.18047582,675.1418238,-31.79427427,-109.4380867,3258,0,16143,-164,2522,-169,185,86,2287856,500,33:26.3,33:26.300
-102.8971524,-130.8892969,289.5631211,517.4759756,-26.66424343,702.2336394,53.38316458,-57.49134872,3258,0,16143,-164,2522,-169,185,86,2287857,500,33:26.3,33:26.300
-238.6548906,-212.0206245,184.7575836,372.3622503,-36.55545275,476.6458695,-33.80047366,-205.1571222,3258,0,16143,-164,2522,-169,185,86,2287858,500,33:26.3,33:26.300
122.5214686,115.1711232,-22.71691787,325.8737074,0.528900442,334.1152155,-14.95550588,88.39173397,3258,0,16196,-147,2513,-216,203,136,2287859,500,33:26.3,33:26.300
260.6340741,220.1756855,273.0083522,260.1782354,133.3991076,653.1059942,78.28515174,214.3243825,3258,0,16196,-147,2513,-216,203,136,2287860,500,33:26.3,33:26.300
498.1150049,401.8405443,-11.57594036,148.2580355,156.485145,574.2038806,355.5463398,482.8343819,3258,0,16196,-147,2513,-216,203,136,2287861,500,33:26.3,33:26.300
-146.0588074,-103.4436123,189.923302,-184.1907536,146.4540233,195.1371916,-33.80978961,-139.3727775,3258,0,16196,-147,2513,-216,203,136,2287862,500,33:26.3,33:26.300
-197.9602161,-189.3386823,295.2298077,-406.4262295,160.3330809,206.7179703,-59.10703117,-184.8237061,3258,0,16196,-147,2513,-216,203,136,2287863,500,33:26.3,33:26.300
-37.0104312,-37.32820943,282.0440864,-573.9097245,202.8152866,56.01999206,-33.85926921,-85.25877059,3258,0,16196,-147,2513,-216,203,136,2287864,500,33:26.3,33:26.300
293.6185901,238.1217557,672.4863966,-598.6109176,374.4136147,529.1052359,139.0249616,250.576129,3258,0,16196,-147,2513,-216,203,136,2287865,500,33:26.3,33:26.300
257.2518018,227.3465671,287.2754013,-893.9122604,244.4203187,95.41455103,200.3555695,238.3919643,3258,0,16196,-147,2513,-216,203,136,2287866,500,33:26.3,33:26.300
408.7242577,306.3000913,331.2430125,-1044.198887,251.076648,208.942808,307.2734824,387.4474803,3258,0,16196,-147,2513,-216,203,136,2287867,500,33:26.3,33:26.300
98.81879144,69.88873689,254.3224771,-1263.999247,200.3172405,70.71496777,127.6010061,95.46106539,3258,0,16196,-147,2513,-216,203,136,2287868,500,33:26.3,33:26.300
229.5820366,131.7872823,120.6427689,-1345.932953,195.253663,-108.7457891,121.9081821,189.5689811,3258,0,16180,-190,2509,-220,279,53,2287869,500,33:26.3,33:26.300
193.2701563,92.60474299,504.9761668,-1275.450529,355.4021404,183.7041943,112.4943323,172.092304,3258,0,16180,-190,2509,-220,279,53,2287870,500,33:26.3,33:26.300
725.3629545,554.8349617,290.866888,-1088.086444,380.5807274,465.4756057,451.7424786,702.4972885,3258,0,16180,-190,2509,-220,279,53,2287871,500,33:26.3,33:26.300
363.2590543,270.8643933,534.7496508,-1070.078291,363.6673578,529.3493399,252.6243908,395.9850706,3258,0,16180,-190,2509,-220,279,53,2287872,500,33:26.3,33:26.300
-60.32532708,-66.071272,565.3329968,-1075.126166,352.5848183,109.4496763,95.66783145,42.10124221,3258,0,16180,-190,2509,-220,279,53,2287873,500,33:26.3,33:26.300
-55.5868933,-83.03322914,399.9964754,-981.3875874,333.3881852,-142.1777027,30.7047459,-0.569360938,3258,0,16180,-190,2509,-220,279,53,2287874,500,33:26.3,33:26.300
30.76091623,10.63670752,561.1704033,-716.1351774,350.6430904,217.8244418,5.751352282,55.02929797,3258,0,16180,-190,2509,-220,279,53,2287875,500,33:26.3,33:26.300
108.3064095,73.85935304,178.4313733,-542.7673013,234.0741098,-31.98475361,11.90258377,114.0827129,3258,0,16180,-190,2509,-220,279,53,2287876,500,33:26.3,33:26.300
124.0114319,70.0304056,334.5020347,-262.1515754,328.1433691,97.54167119,-2.416418459,103.2100445,3258,0,16180,-190,2509,-220,279,53,2287877,500,33:26.3,33:26.300
-229.5029892,-203.3046092,314.5793126,-187.5844682,275.3925888,18.00462795,-207.8930773,-217.8711985,3258,0,16180,-190,2509,-220,279,53,2287878,500,33:26.3,33:26.300
-185.5853444,-241.4954024,34.26258695,-137.1141998,123.9979699,-249.8300603,-228.2635178,-192.5584808,3258,0,16145,-227,2481,-151,270,52,2287879,500,33:26.3,33:26.300
-130.767322,-164.9967712,430.4743249,153.2135909,291.3427899,-11.07092166,-120.9082753,-123.0884878,3258,0,16145,-227,2481,-151,270,52,2287880,500,33:26.3,33:26.300
259.1563553,139.6932303,162.7691975,369.9954299,242.7014391,165.6844072,307.2058411,299.7507798,3258,0,16145,-227,2481,-151,270,52,2287881,500,33:26.3,33:26.300
65.77302334,11.81133213,234.9136982,509.4335123,187.2316644,280.6810728,105.4992921,120.4977325,3258,0,16145,-227,2481,-151,270,52,2287882,500,33:26.3,33:26.300
-103.1331048,-141.5319443,170.7759742,504.2130643,127.6768459,178.0191724,65.2644856,3.958258974,3258,0,16145,-227,2481,-151,270,52,2287883,500,33:26.3,33:26.300
-320.3977698,-351.0304873,-165.1274993,369.9072861,-31.72821643,-309.1590453,-74.38462685,-212.6941193,3258,0,16145,-227,2481,-151,270,52,2287884,500,33:26.3,33:26.300
-198.6004499,-251.9968752,82.52120096,485.1360161,15.49077537,120.2142441,-70.74190347,-136.8590016,3258,0,16145,-227,2481,-151,270,52,2287885,500,33:26.3,33:26.300
-8.562524231,-36.16933416,-262.6370227,519.283263,-82.57665801,97.18673151,35.53157554,38.61478422,3258,0,16145,-227,2481,-151,270,52,2287886,500,33:26.3,33:26.300
