CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp,Timestamp_real
1670.805034,3567.510815,4908.110157,4821.017476,-1560.980841,-22313.58594,3001.130446,2868.852699,3437,0,16206,638,-1733,-4,-572,624,151213,500,09:42.6,09:42.585
1747.940116,3071.458438,4536.845816,3724.929126,-2378.908298,-25752.52808,2398.778683,3020.970386,3437,0,16206,638,-1733,-4,-572,624,151214,500,09:42.6,09:42.585
2286.362666,3122.272909,4606.739067,2964.85299,-3742.831871,-28646.16017,2449.821205,3543.057044,3437,0,16206,638,-1733,-4,-572,624,151215,500,09:42.6,09:42.585
2659.124603,3279.468114,4586.818263,3082.042336,-3674.551536,-31357.807,2270.347315,3617.136217,3437,0,16206,638,-1733,-4,-572,624,151216,500,09:42.6,09:42.585
2304.596751,3513.637449,4735.087521,3740.27933,-2708.586348,-35008.72987,1754.007225,3443.651751,3437,0,16274,672,-1717,-647,-641,849,151217,500,09:42.6,09:42.586
2438.867816,4176.875449,5407.820699,4383.399291,-3223.306165,-38923.67134,2090.595869,4073.322126,3437,0,16274,672,-1717,-647,-641,849,151218,500,09:42.6,09:42.586
3104.217462,4721.64924,5350.82901,3535.599888,-5303.833662,-42768.53488,2939.029069,4569.320923,3437,0,16274,672,-1717,-647,-641,849,151219,500,09:42.6,09:42.586
3522.875037,4313.7193,4537.352916,2709.431886,-5518.773497,-47400.80008,3213.578622,4428.38076,3437,0,16274,672,-1717,-647,-641,849,151220,500,09:42.6,09:42.586
4104.431962,4242.634264,4488.413936,2961.117291,-3948.534675,-51711.91301,3370.00527,4554.32965,3437,0,16274,672,-1717,-647,-641,849,151221,500,09:42.6,09:42.586
4524.942641,4288.004841,4690.248806,3519.327624,-3760.544912,-55730.7718,3924.441175,4936.879017,3437,0,16274,672,-1717,-647,-641,849,151222,500,09:42.6,09:42.586
4675.716591,4433.008257,4686.662343,4115.479054,-3786.937026,-60152.79297,4500.897084,5113.702997,3437,0,16274,672,-1717,-647,-641,849,151223,500,09:42.6,09:42.586
4377.149472,4606.707371,4671.082286,4449.59965,-2868.931787,-64231.84195,4503.06737,5220.373711,3437,0,16274,672,-1717,-647,-641,849,151224,500,09:42.6,09:42.586
4513.838195,4807.411525,4573.029508,4032.38552,-2045.812486,-67477.28733,4562.862398,5517.518764,3437,0,16274,672,-1717,-647,-641,849,151225,500,09:42.6,09:42.586
5061.345186,4975.774798,4505.659256,4039.481189,-2247.123953,-70362.38684,4558.665724,5663.417334,3437,0,16274,672,-1717,-647,-641,849,151226,500,09:42.6,09:42.587
4524.072936,4445.938917,4047.028904,4216.968225,-875.9218327,-71943.83732,4045.163264,5300.907429,3437,0,16391,405,-1802,-797,7,588,151227,500,09:42.6,09:42.587
3675.391313,4304.545467,4082.749407,4547.013763,1904.49454,-73280.53792,3668.566233,5307.022814,3437,0,16391,405,-1802,-797,7,588,151228,500,09:42.6,09:42.587
3886.813935,4702.964915,4258.01267,4856.582827,2130.568171,-75232.46958,3912.355963,5393.954665,3437,0,16391,405,-1802,-797,7,588,151229,500,09:42.6,09:42.587
4445.672093,5013.477108,3996.204661,4413.082068,1427.329442,-77703.12267,3949.276335,5346.002662,3437,0,16391,405,-1802,-797,7,588,151230,500,09:42.6,09:42.587
4330.60911,5065.966623,3994.016983,4536.316577,2177.674953,-78414.60096,4089.781045,5265.313082,3437,0,16391,405,-1802,-797,7,588,151231,500,09:42.6,09:42.587
4456.80023,5037.125135,3935.475409,4389.225523,2274.571454,-78243.76393,4046.531955,5310.106554,3437,0,16391,405,-1802,-797,7,588,151232,500,09:42.6,09:42.587
4544.946487,5141.821119,3982.192446,4322.242653,1480.718513,-77982.14125,3704.241658,5322.055902,3437,0,16391,405,-1802,-797,7,588,151233,500,09:42.6,09:42.587
