CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp,Timestamp_real
57.63902837,-131.0267881,-664.7072258,-1216.790951,-1712.710524,-1506.315874,-442.0483393,28.58813738,3283,0,14433,-3268,-7584,186,-53,-103,97556,500,36:29.4,36:29.372
112.6574086,-49.67782609,-738.0022557,-1246.806257,-1518.641175,-1453.873768,-354.0952205,37.85369459,3283,0,14433,-3268,-7584,186,-53,-103,97557,500,36:29.4,36:29.372
239.3457457,43.77082868,-801.2567132,-1255.488822,-934.6024404,-1145.618485,-265.6818067,230.5875,3283,0,14433,-3268,-7584,186,-53,-103,97558,500,36:29.4,36:29.372
104.5619042,-98.40929578,-1042.704755,-1221.666026,-817.0501402,-1114.161639,-353.3847074,111.6531029,3283,0,14433,-3268,-7584,186,-53,-103,97559,500,36:29.4,36:29.373
117.1162925,-54.83578298,-973.9670335,-943.2773771,-813.7325992,-1144.198006,-375.3269482,93.98419234,3283,0,14433,-3268,-7584,186,-53,-103,97560,500,36:29.4,36:29.373
112.4688814,-7.654564751,-940.45916,-838.6158226,-872.2070016,-1320.850387,-307.0910873,-60.45642829,3283,0,14433,-3268,-7584,186,-53,-103,97561,500,36:29.4,36:29.373
-191.3662251,-254.3416679,-1136.206043,-934.2109463,-1138.993428,-1677.214119,-182.1867114,-531.0234634,3283,0,14433,-3268,-7584,186,-53,-103,97562,500,36:29.4,36:29.373
-308.4716711,-336.5721778,-1169.569587,-689.7075852,-886.9961171,-1306.990378,-252.8730163,-636.6015474,3283,0,14433,-3268,-7584,186,-53,-103,97563,500,36:29.4,36:29.373
-349.4707801,-378.6698751,-1247.092696,-614.1556204,-807.1207512,-1128.713309,-232.5139011,-619.7749615,3283,0,14433,-3268,-7584,186,-53,-103,97564,500,36:29.4,36:29.373
-346.078978,-353.4618707,-1099.555444,-356.4246619,-675.2256191,-927.4288787,-203.1563838,-615.24045,3283,0,14433,-3268,-7584,186,-53,-103,97565,500,36:29.4,36:29.373
-354.0580288,-320.2111244,-910.0456351,2.103944345,-665.8940604,-743.5581782,-239.6259559,-678.1554386,3283,0,14374,-3234,-7576,348,-168,-85,97566,500,36:29.4,36:29.373
-98.62605947,-9.444835687,-570.1665169,385.4741254,-358.4864222,-120.9253002,-258.7356624,-316.0708937,3283,0,14374,-3234,-7576,348,-168,-85,97567,500,36:29.4,36:29.373
195.9942504,253.5789496,-314.8753705,559.1378191,-78.16883533,366.9119231,-101.3604513,96.84255873,3283,0,14374,-3234,-7576,348,-168,-85,97568,500,36:29.4,36:29.373
8.140225213,74.07094513,-463.8971284,267.0084021,-225.3020664,187.5425676,-149.1892836,-119.8007599,3283,0,14374,-3234,-7576,348,-168,-85,97569,500,36:29.4,36:29.373
-233.2748835,-88.93690399,-586.0013816,178.9127912,-218.5706732,-88.10995794,-151.4814181,-349.6126132,3283,0,14374,-3234,-7576,348,-168,-85,97570,500,36:29.4,36:29.373
-294.1754051,-80.91302878,-523.2357297,300.8595354,-92.1141858,-168.3902953,-245.5716607,-430.8530397,3283,0,14374,-3234,-7576,348,-168,-85,97571,500,36:29.4,36:29.373
-173.7410739,64.73712058,-386.2313435,399.4710838,228.2566652,-24.59497829,-299.5526538,-344.3573697,3283,0,14374,-3234,-7576,348,-168,-85,97572,500,36:29.4,36:29.373
-290.385742,-8.440416992,-473.0914481,283.4616026,28.81441254,-308.4500516,-280.7166044,-496.4380166,3283,0,14374,-3234,-7576,348,-168,-85,97573,500,36:29.4,36:29.373
-234.3449626,93.88605378,-333.5051871,252.1988422,-90.70644012,-351.6266187,-361.5177656,-447.65198,3283,0,14374,-3234,-7576,348,-168,-85,97574,500,36:29.4,36:29.373
