CH1,CH2,CH3,CH4,CH5,CH6,CH7,CH8,Vbat,Trigger,AccX,AccY,AccZ,GyX,GyY,GyZ,N,fs,Timestamp,Timestamp_real
-728.656682,-1055.912362,-7190.833232,-6343.784836,-2330.159178,-2419.96385,-950.6971829,-823.4073172,3198,0,-7368,1258,-12470,-2106,1993,415,156767,500,16:35.5,16:35.473
-883.0951562,-1387.802171,-7802.411122,-6941.242864,-2915.217299,-2848.893764,-1095.142238,-835.9111658,3198,0,-7368,1258,-12470,-2106,1993,415,156768,500,16:35.5,16:35.473
-897.9786558,-1143.301895,-7871.567951,-7055.413927,-2863.163067,-3014.131307,-1071.345664,-808.5399839,3198,0,-7368,1258,-12470,-2106,1993,415,156769,500,16:35.5,16:35.474
-839.6204612,-1001.338729,-7969.899316,-7039.951418,-2773.226223,-3033.690127,-987.9722637,-730.716415,3198,0,-7368,1258,-12470,-2106,1993,415,156770,500,16:35.5,16:35.474
-684.773224,-900.0913536,-8208.586121,-7216.055063,-2782.498475,-2976.220598,-994.8662135,-650.5703558,3198,0,-7368,1258,-12470,-2106,1993,415,156771,500,16:35.5,16:35.474
-629.3300992,-1403.743757,-9201.044605,-7541.559128,-2838.971128,-2952.107552,-872.7960756,-546.5037059,3198,0,-7368,1258,-12470,-2106,1993,415,156772,500,16:35.5,16:35.474
-652.2394174,-1877.308036,-10211.21506,-7942.662579,-2800.737162,-3025.822984,-794.4248441,-465.8843063,3198,0,-7483,1705,-12518,-2595,2324,1018,156773,500,16:35.5,16:35.474
-1014.924363,-2197.894686,-10998.77257,-8249.95957,-2767.479912,-3359.510279,-949.7363851,-660.0260341,3198,0,-7483,1705,-12518,-2595,2324,1018,156774,500,16:35.5,16:35.474
-613.5140173,-1306.717305,-10587.86978,-8218.793959,-2777.896818,-3511.500854,-958.349005,-609.3374256,3198,0,-7483,1705,-12518,-2595,2324,1018,156775,500,16:35.5,16:35.474
-713.8662857,-843.5441535,-10015.17898,-8313.859664,-3138.179816,-3770.38335,-1041.829852,-731.4449297,3198,0,-7483,1705,-12518,-2595,2324,1018,156776,500,16:35.5,16:35.474
-784.3926661,-1176.080705,-10797.32362,-8583.626785,-3328.526138,-3834.268928,-959.9059292,-643.4522886,3198,0,-7483,1705,-12518,-2595,2324,1018,156777,500,16:35.5,16:35.474
-740.1316281,-1392.629577,-11645.5855,-9328.26134,-3883.555734,-4091.633344,-892.7083852,-531.8427441,3198,0,-7483,1705,-12518,-2595,2324,1018,156778,500,16:35.5,16:35.474
-783.0817387,-904.6629074,-11457.54958,-9316.661739,-3704.443786,-4217.322156,-1019.60327,-639.8542991,3198,0,-7483,1705,-12518,-2595,2324,1018,156779,500,16:35.5,16:35.474
-670.3048097,-559.8857766,-11591.80303,-9262.757678,-3432.17372,-4245.912972,-984.6517859,-588.8023597,3198,0,-7483,1705,-12518,-2595,2324,1018,156780,500,16:35.5,16:35.474
-723.3739701,-648.4933151,-12144.73612,-9492.80583,-3387.439976,-4398.622009,-898.8689209,-582.8048284,3198,0,-7483,1705,-12518,-2595,2324,1018,156781,500,16:35.5,16:35.474
