sep=;
CH1;CH2;CH3;CH4;CH5;CH6;CH7;CH8;Vbat;Trigger;AccX;AccY;AccZ;GyX;GyY;GyZ;N;fs;Timestamp
225.750019685059;3998.13552510471;-1274.72823766254;-965.62069500071;-762.458295798958;-2186.82078754404;409.647425467606;104.610621243814;3104;0;11863;-11793;-643;-64;54;165;148290;500;15:17:13.743921
351.97204091865;3783.50841571029;-1226.93460216127;-715.628861677568;-698.888791251512;-1967.36920820086;241.75328002929;-93.3544551092003;3104;0;11863;-11793;-643;-64;54;165;148291;500;15:17:13.743959
900.011704971926;4329.30060229323;-1015.02501511397;-345.827143314188;-355.26041823866;-1755.21686762789;-226.790628401201;-204.714546408266;3104;0;11863;-11793;-643;-64;54;165;148292;500;15:17:13.743985
1064.1502260384;4522.51021217244;-982.877921568815;-450.770459076085;-251.99624979794;-1963.14734806695;-342.82843816807;-290.549969678862;3104;0;11863;-11793;-643;-64;54;165;148293;500;15:17:13.744014
431.953053175797;3911.1117770286;-1326.67307726763;-1024.44371371344;-539.135229557113;-2062.52836265093;-159.497975501596;-172.373357956576;3104;0;11853;-11838;-729;170;63;125;148294;500;15:17:13.744043
379.478476346462;3925.04259123897;-1215.58724553706;-1027.66194123151;-609.128066611531;-1990.17992970007;-49.6349682423445;224.498489855057;3104;0;11853;-11838;-729;170;63;125;148295;500;15:17:13.744103
575.383182713985;4145.01492076695;-1251.57718075984;-1015.83811176328;-628.484104801803;-1702.40124274087;55.389731441737;604.971246302444;3104;0;11853;-11838;-729;170;63;125;148296;500;15:17:13.744151
675.898121360409;4234.59104679887;-1201.87253048725;-747.76804831738;-800.572981161531;-1681.69645235221;-384.94315746573;489.855103412314;3104;0;11853;-11838;-729;170;63;125;148297;500;15:17:13.744194
819.217911035876;4363.83386878716;-1384.12106081888;-1024.9521987723;-1045.79257091668;-1729.59969933227;-407.54352533315;329.780143261978;3104;0;11853;-11838;-729;170;63;125;148298;500;15:17:13.744244
650.542380910634;4639.12751405095;-1348.48880818387;-1020.80504056868;-812.182055302304;-1680.92424736011;-108.678774866917;288.633372215559;3104;0;11853;-11838;-729;170;63;125;148299;500;15:17:13.744294
107.791280612793;4415.16578458832;-1648.53325110287;-1210.80863684075;-712.474890329123;-1096.13132313354;325.217869236497;133.871265928759;3104;0;11853;-11838;-729;170;63;125;148300;500;15:17:13.744348
-205.920804716725;4003.0338150255;-1613.9028206162;-1058.15405139165;-900.487657692217;-960.436777042647;475.100467750354;14.3610876797359;3104;0;11853;-11838;-729;170;63;125;148301;500;15:17:13.744403
-147.09423287429;3914.68519017212;-1193.36299562983;-650.532308699809;-723.776919675095;-697.325623981843;440.862814594306;-145.29715560312;3104;0;11853;-11838;-729;170;63;125;148302;500;15:17:13.744457
-184.375186139367;4000.33882487505;-772.873851210709;-149.911320465693;-457.194752118142;-788.138206267399;342.90545254878;-264.264951069228;3104;0;11853;-11838;-729;170;63;125;148303;500;15:17:13.744515
-706.248281297911;3912.44482145068;-604.679864209799;152.615930859709;-393.95859558248;-915.566301043945;145.271493132563;-289.322703984458;3104;0;11717;-11717;-749;52;57;151;148304;500;15:17:13.744569
-1490.97119629988;3599.91318856883;-572.310740152696;283.587127917112;-161.3367127083;-585.195903884266;342.820721543733;53.1412490553689;3104;0;11717;-11717;-749;52;57;151;148305;500;15:17:13.744621
-1415.27393621883;3833.36753026819;-551.591509908176;302.354659277184;118.84712360592;-162.826400845441;572.57201446639;223.24873550428;3104;0;11717;-11717;-749;52;57;151;148306;500;15:17:13.744663
-791.753033247205;3819.93732477487;-732.699519331119;-185.317304006469;-220.658725355875;-79.7750302302787;375.887863315792;99.3064587807751;3104;0;11717;-11717;-749;52;57;151;148307;500;15:17:13.744708
77.3293150447611;4244.62274399607;-467.791064061182;-77.2141612365964;-264.70029854943;-215.366167731423;373.74698837567;54.0578242226534;3104;0;11717;-11717;-749;52;57;151;148308;500;15:17:13.744766
-142.458104137472;4227.03756132219;-544.506885503631;-323.852804458254;-316.15286318057;-477.304956489995;174.552973004496;-490.648993595995;3104;0;11717;-11717;-749;52;57;151;148309;500;15:17:13.744826
-705.099465145886;4555.49877512548;-659.614667669775;-441.179756353661;-479.187095856067;-591.056188209727;118.841462960955;-261.709285479604;3104;0;11717;-11717;-749;52;57;151;148310;500;15:17:13.744889
-1265.1732566634;4695.98822791175;-638.312459047045;-617.130257137073;-558.492369828168;-868.319549254151;-87.5604505061475;149.174868279487;3104;0;11717;-11717;-749;52;57;151;148311;500;15:17:13.744952
-228.87705952589;4959.44015381751;-666.442245224766;-881.736966398433;-507.55204385874;-1012.32314435099;-162.357663206534;327.935820760874;3104;0;11717;-11717;-749;52;57;151;148312;500;15:17:13.745884
806.955521505674;5037.82153929635;-587.23601087113;-947.372637586784;-690.679743169108;-1566.88884550487;-437.666170644364;389.409817916947;3104;0;11717;-11717;-749;52;57;151;148313;500;15:17:13.745948
766.085594929667;4505.48939958162;-731.509216880268;-1051.35709536387;-1384.67603695319;-2275.63090168569;-379.989296907168;185.379217341581;3104;0;11618;-11557;-723;-88;93;186;148314;500;15:17:13.746004
266.36853949098;3845.25105853485;-918.667581688038;-1235.83163038741;-1894.82733220567;-2347.67410278599;164.543584469701;301.019990175376;3104;0;11618;-11557;-723;-88;93;186;148315;500;15:17:13.746083
-228.540671736042;3865.83630473452;-1082.30965824619;-1433.68301786958;-1610.56210052767;-1782.88438068945;203.703306117673;401.402088876023;3104;0;11618;-11557;-723;-88;93;186;148316;500;15:17:13.746152
-467.30941197224;3861.77324527439;-1305.66835463458;-1931.05717174998;-1412.39140010476;-1852.18972954358;-90.0091820313514;476.014636893145;3104;0;11618;-11557;-723;-88;93;186;148317;500;15:17:13.746215
230.861111543893;4445.01579480169;-1441.66660299411;-1887.51126098895;-1149.24054204946;-1821.28861958943;-56.8951336698623;670.646980962897;3104;0;11618;-11557;-723;-88;93;186;148318;500;15:17:13.746282
706.285293680467;4606.70165963487;-1346.81920343877;-1307.94043696329;-894.881140738525;-1964.09619725936;-114.213534171703;457.675148952111;3104;0;11618;-11557;-723;-88;93;186;148319;500;15:17:13.746349
611.367697522453;4658.3328761804;-1294.85362451441;-1041.72274739858;-858.113803269477;-1799.85354195306;33.7105704752943;475.350704911086;3104;0;11618;-11557;-723;-88;93;186;148320;500;15:17:13.746416
133.133214655657;4665.39055718161;-1152.53681767686;-878.10294321127;-868.981876736;-1819.50325144172;46.5212939227449;201.004650975258;3104;0;11618;-11557;-723;-88;93;186;148321;500;15:17:13.746484
